Model,Broad.phase.of.flight,Weather.Condition,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Year
PA-32-300,Cruise,VMC,0.0,0.0,0.0,3.0,1985
402,Unknown,VMC,1.0,0.0,0.0,0.0,1985
LUSCOMBE 8A,Maneuvering,VMC,1.0,1.0,0.0,0.0,1985
269,Maneuvering,VMC,0.0,0.0,0.0,1.0,1985
152,Landing,VMC,0.0,0.0,0.0,1.0,1985
421B,Takeoff,VMC,0.0,0.0,0.0,4.0,1985
PA-28-181,Approach,VMC,0.0,0.0,0.0,1.0,1985
R182,Landing,VMC,0.0,0.0,1.0,0.0,1985
150M,Landing,VMC,0.0,0.0,0.0,1.0,1985
47G-2,Maneuvering,VMC,1.0,0.0,0.0,0.0,1985
177B,Landing,VMC,0.0,0.0,0.0,1.0,1985
C-207A,Climb,IMC,2.0,3.0,0.0,0.0,1985
PA-18,Takeoff,VMC,0.0,0.0,0.0,1.0,1985
PA-31-350,Approach,IMC,0.0,5.0,2.0,0.0,1985
172M,Approach,VMC,0.0,0.0,0.0,2.0,1985
7ECA,Landing,VMC,0.0,0.0,0.0,2.0,1985
PA-22-150,Landing,VMC,0.0,0.0,0.0,1.0,1985
SKYSHIP,Cruise,VMC,0.0,0.0,0.0,2.0,1985
AA-5,Takeoff,VMC,0.0,0.0,0.0,4.0,1985
AA-5A,Go-around,VMC,0.0,0.0,0.0,1.0,1985
150H,Cruise,VMC,0.0,1.0,0.0,0.0,1985
PA-28-160,Taxi,VMC,0.0,0.0,0.0,1.0,1985
AT301,Maneuvering,VMC,0.0,1.0,0.0,0.0,1985
182M,Landing,VMC,0.0,0.0,0.0,1.0,1985
PA-31-350,Landing,VMC,0.0,0.0,0.0,1.0,1985
G-164A,Maneuvering,VMC,0.0,0.0,0.0,1.0,1985
PA-34-200,Landing,VMC,0.0,0.0,0.0,3.0,1985
207,Cruise,VMC,0.0,0.0,1.0,0.0,1985
GLIDER TRYKE,Landing,VMC,0.0,0.0,0.0,3.0,1985
150M,Cruise,VMC,0.0,0.0,0.0,2.0,1985
PA-32R-301,Approach,VMC,0.0,0.0,0.0,2.0,1985
172,Cruise,VMC,0.0,0.0,0.0,2.0,1985
BC-12D,Climb,VMC,0.0,0.0,2.0,0.0,1985
150,Cruise,VMC,0.0,0.0,0.0,2.0,1985
8-A,Takeoff,VMC,0.0,0.0,0.0,3.0,1985
PA-28-161,Cruise,VMC,0.0,2.0,0.0,0.0,1985
VARI-EZE,Maneuvering,VMC,0.0,3.0,3.0,0.0,1985
R22,Landing,VMC,0.0,2.0,0.0,0.0,1985
E-90,Takeoff,VMC,0.0,0.0,1.0,2.0,1985
172,Maneuvering,VMC,0.0,1.0,0.0,0.0,1985
PA-24-250,Landing,VMC,0.0,0.0,0.0,5.0,1985
SGS 2-33A,Descent,VMC,0.0,0.0,1.0,1.0,1985
180J,Landing,VMC,0.0,0.0,0.0,1.0,1985
C152,Landing,VMC,0.0,0.0,0.0,1.0,1985
B35,Takeoff,VMC,0.0,0.0,4.0,0.0,1985
A75N1,Cruise,VMC,0.0,0.0,0.0,1.0,1985
182,Takeoff,VMC,0.0,0.0,0.0,3.0,1985
PA-32T-300,Landing,VMC,0.0,0.0,0.0,3.0,1985
140A,Landing,VMC,0.0,0.0,0.0,2.0,1985
SGS 2-33A,Approach,VMC,0.0,0.0,0.0,1.0,1985
J3C-65,Takeoff,VMC,0.0,0.0,0.0,1.0,1985
SGS-233,Maneuvering,VMC,0.0,0.0,0.0,2.0,1985
EMB-110-P1,Approach,VMC,0.0,0.0,0.0,7.0,1985
PA-23-250,Cruise,UNK,4.0,0.0,0.0,0.0,1985
205,Maneuvering,VMC,3.0,0.0,0.0,0.0,1985
S2R-600,Maneuvering,VMC,0.0,0.0,0.0,1.0,1985
206L,Takeoff,VMC,2.0,1.0,1.0,0.0,1985
M-5-235C,Landing,VMC,0.0,0.0,0.0,2.0,1985
47-G5,Maneuvering,VMC,0.0,0.0,1.0,0.0,1985
58P,Landing,VMC,0.0,0.0,0.0,3.0,1985
150H,Takeoff,VMC,0.0,0.0,1.0,1.0,1985
TR-182,Maneuvering,VMC,3.0,1.0,0.0,0.0,1985
501,Approach,IMC,2.0,0.0,0.0,0.0,1985
172N,Cruise,IMC,0.0,0.0,2.0,0.0,1985
PA-28-181,Cruise,IMC,2.0,1.0,0.0,0.0,1985
PA-38-112,Takeoff,VMC,0.0,0.0,1.0,0.0,1985
35-B33,Landing,VMC,0.0,0.0,1.0,0.0,1985
152,Approach,VMC,0.0,0.0,0.0,1.0,1985
PA-24-250,Landing,VMC,0.0,0.0,0.0,2.0,1985
MU-2B-20,Approach,VMC,0.0,0.0,0.0,2.0,1985
PA-36,Maneuvering,VMC,0.0,0.0,1.0,0.0,1985
PA-28-235,Landing,VMC,0.0,0.0,0.0,1.0,1985
47G-2A,Maneuvering,VMC,0.0,0.0,0.0,1.0,1985
152,Landing,VMC,0.0,0.0,0.0,1.0,1985
B-8M,Takeoff,VMC,0.0,0.0,0.0,1.0,1985
PA-28-140,Cruise,VMC,1.0,0.0,0.0,7.0,1985
172,Landing,VMC,0.0,0.0,0.0,1.0,1985
206B,Maneuvering,VMC,0.0,1.0,0.0,0.0,1985
BD-5,Approach,VMC,1.0,0.0,0.0,0.0,1985
UH-1V,Cruise,VMC,1.0,0.0,0.0,7.0,1985
172N,Cruise,UNK,2.0,0.0,0.0,0.0,1985
7FC,Landing,VMC,0.0,0.0,1.0,0.0,1985
AA-5A,Takeoff,VMC,0.0,0.0,1.0,0.0,1985
H35,Approach,VMC,0.0,1.0,0.0,0.0,1985
35-C33,Takeoff,VMC,0.0,0.0,1.0,0.0,1985
PA-18-150,Landing,VMC,0.0,0.0,0.0,2.0,1985
V35,Takeoff,VMC,3.0,0.0,0.0,0.0,1985
M20,Cruise,VMC,0.0,1.0,0.0,0.0,1985
414,Approach,VMC,1.0,0.0,0.0,0.0,1985
GC1B,Takeoff,VMC,0.0,0.0,0.0,2.0,1985
PA-28-161,Climb,VMC,0.0,0.0,1.0,1.0,1985
65-88,Takeoff,VMC,0.0,0.0,0.0,3.0,1985
340A,Takeoff,VMC,0.0,0.0,0.0,2.0,1985
M-20G,Cruise,VMC,0.0,0.0,0.0,1.0,1985
U206F,Descent,VMC,0.0,0.0,1.0,0.0,1985
369E,Approach,VMC,0.0,1.0,0.0,0.0,1985
B-8-M,Maneuvering,VMC,1.0,0.0,0.0,0.0,1985
PA-28-140,Go-around,VMC,0.0,1.0,0.0,0.0,1985
152,Cruise,VMC,0.0,0.0,0.0,1.0,1985
681,Landing,VMC,0.0,0.0,0.0,5.0,1985
BI-PLANE,Takeoff,VMC,0.0,0.0,0.0,1.0,1985
170A,Standing,VMC,0.0,0.0,0.0,1.0,1985
170B,Landing,VMC,0.0,0.0,0.0,1.0,1985
150L,Landing,VMC,0.0,0.0,0.0,1.0,1985
PA-28-140,Takeoff,VMC,0.0,0.0,1.0,0.0,1985
150F,Maneuvering,VMC,1.0,1.0,0.0,0.0,1985
177,Maneuvering,VMC,3.0,0.0,0.0,0.0,1985
GC-1B,Maneuvering,VMC,1.0,1.0,0.0,0.0,1985
S-1C,Takeoff,VMC,0.0,0.0,1.0,0.0,1985
300,Taxi,VMC,0.0,0.0,1.0,0.0,1985
112B,Takeoff,VMC,5.0,0.0,0.0,0.0,1985
150,Cruise,VMC,0.0,0.0,2.0,0.0,1985
A75,Maneuvering,VMC,0.0,2.0,0.0,0.0,1985
150,Go-around,VMC,0.0,0.0,1.0,0.0,1985
PA-18,Maneuvering,VMC,0.0,0.0,1.0,0.0,1985
PA-28-181,Standing,VMC,0.0,0.0,0.0,3.0,1985
727-023,Approach,VMC,0.0,0.0,0.0,121.0,1985
SKYBOLT,Maneuvering,VMC,1.0,1.0,0.0,0.0,1985
R182,Maneuvering,VMC,1.0,0.0,0.0,0.0,1985
152,Descent,VMC,0.0,0.0,2.0,0.0,1985
182P,Takeoff,VMC,0.0,0.0,1.0,1.0,1985
152,Takeoff,VMC,0.0,0.0,0.0,2.0,1985
PA-12,Landing,VMC,0.0,0.0,0.0,2.0,1985
108-3,Landing,VMC,0.0,0.0,0.0,2.0,1985
A-300B4-2C,Cruise,IMC,0.0,2.0,19.0,53.0,1985
210F,Cruise,VMC,0.0,2.0,2.0,0.0,1985
C172P,Takeoff,IMC,4.0,0.0,0.0,0.0,1985
PA-34,Unknown,VMC,3.0,0.0,0.0,0.0,1985
TU-206E,Maneuvering,VMC,2.0,0.0,0.0,0.0,1985
337G,Landing,VMC,0.0,0.0,0.0,1.0,1985
PA-36-400,Takeoff,VMC,0.0,0.0,1.0,0.0,1985
PA-28-140,Cruise,VMC,0.0,0.0,0.0,2.0,1985
DC-10-10,Climb,IMC,0.0,0.0,0.0,212.0,1985
206B,Cruise,VMC,0.0,1.0,3.0,0.0,1985
TR 182,Takeoff,VMC,0.0,0.0,0.0,2.0,1985
PA-28-235,Takeoff,VMC,0.0,0.0,0.0,2.0,1985
269C,Maneuvering,VMC,0.0,0.0,0.0,1.0,1985
OH-13E,Maneuvering,VMC,0.0,1.0,0.0,2.0,1985
TOMCAT MARK 5A/OH13H,Maneuvering,VMC,0.0,0.0,1.0,0.0,1985
425,Landing,VMC,0.0,1.0,0.0,3.0,1985
UH-12E,Takeoff,VMC,0.0,0.0,0.0,1.0,1985
182,Approach,VMC,0.0,0.0,0.0,2.0,1985
8A,Go-around,VMC,0.0,0.0,0.0,2.0,1985
65-A90,Landing,VMC,0.0,0.0,0.0,1.0,1985
300,Landing,VMC,0.0,0.0,0.0,2.0,1985
G-164A-600,Landing,VMC,0.0,0.0,0.0,1.0,1985
150M,Landing,VMC,0.0,0.0,0.0,1.0,1985
AZTEC PA-23-250,Landing,VMC,0.0,0.0,0.0,2.0,1985
G-159,Takeoff,VMC,2.0,0.0,0.0,0.0,1985
DW1-0062,Go-around,VMC,0.0,0.0,0.0,1.0,1985
M20J,Landing,VMC,0.0,0.0,0.0,2.0,1985
182,Cruise,VMC,0.0,0.0,0.0,1.0,1985
222U,Cruise,VMC,0.0,0.0,0.0,4.0,1985
172,Descent,VMC,0.0,0.0,0.0,1.0,1985
A185F,Landing,VMC,0.0,0.0,0.0,2.0,1985
206-B,Takeoff,VMC,0.0,0.0,1.0,0.0,1985
AA-5B,Go-around,VMC,0.0,1.0,0.0,0.0,1985
152,Maneuvering,VMC,2.0,0.0,0.0,0.0,1985
7GCAA,Takeoff,VMC,0.0,0.0,2.0,0.0,1985
M20,Landing,VMC,0.0,0.0,0.0,2.0,1985
PA-25-260-C,Climb,VMC,0.0,0.0,0.0,1.0,1985
PA-28-236,Landing,VMC,0.0,0.0,0.0,1.0,1985
G-164A,Landing,VMC,0.0,0.0,0.0,1.0,1985
7AC,Takeoff,VMC,0.0,0.0,2.0,0.0,1985
7AC,Landing,VMC,0.0,0.0,0.0,1.0,1985
T210,Takeoff,VMC,0.0,0.0,0.0,2.0,1985
PA-28RT-201,Takeoff,VMC,0.0,0.0,2.0,2.0,1985
152,Takeoff,IMC,1.0,0.0,0.0,0.0,1985
150H,Takeoff,VMC,0.0,0.0,0.0,2.0,1985
DC-10-30F,Cruise,VMC,0.0,0.0,0.0,201.0,1985
7GCB,Approach,VMC,0.0,0.0,2.0,0.0,1985
305A,Landing,VMC,0.0,0.0,0.0,1.0,1985
SGS-1-35,Maneuvering,VMC,0.0,0.0,0.0,1.0,1985
PEGASE 101A,Takeoff,VMC,0.0,0.0,1.0,0.0,1985
108-1,Landing,VMC,0.0,0.0,0.0,3.0,1985
17-30A,Takeoff,VMC,0.0,0.0,0.0,2.0,1985
PA-18-135,Takeoff,VMC,0.0,0.0,0.0,1.0,1985
CALLAIR A-9,Maneuvering,VMC,0.0,0.0,1.0,0.0,1985
E-75,Landing,VMC,0.0,0.0,0.0,2.0,1985
152,Approach,VMC,0.0,0.0,2.0,0.0,1985
PA-28-140,Cruise,VMC,3.0,0.0,0.0,0.0,1985
172,Landing,VMC,0.0,0.0,0.0,4.0,1985
140,Maneuvering,VMC,1.0,0.0,0.0,0.0,1985
DW-1,Maneuvering,VMC,0.0,0.0,0.0,1.0,1985
A188B,Cruise,VMC,0.0,0.0,0.0,1.0,1985
172RG,Taxi,VMC,1.0,0.0,0.0,1.0,1985
180K,Landing,VMC,0.0,3.0,0.0,0.0,1985
PA-28-R-180,Takeoff,VMC,0.0,0.0,2.0,0.0,1985
A188B,Takeoff,VMC,0.0,0.0,0.0,1.0,1985
DH 82A TIGER MOTH,Maneuvering,VMC,0.0,2.0,0.0,0.0,1985
SA226TC,Approach,VMC,0.0,0.0,0.0,14.0,1985
V35B,Landing,VMC,0.0,0.0,0.0,2.0,1985
175B,Taxi,VMC,0.0,0.0,0.0,2.0,1985
PA-31-T,Landing,VMC,0.0,0.0,0.0,1.0,1985
E18S,Unknown,VMC,1.0,0.0,0.0,0.0,1985
PA-22-108,Takeoff,VMC,2.0,0.0,0.0,0.0,1985
PA-18-150,Landing,VMC,0.0,0.0,0.0,1.0,1985
150,Takeoff,VMC,0.0,0.0,0.0,1.0,1985
340A,Takeoff,VMC,0.0,0.0,0.0,3.0,1985
152,Approach,VMC,0.0,0.0,0.0,2.0,1985
STITTS SA-3A,Takeoff,VMC,0.0,0.0,1.0,0.0,1985
PA-32R-301T,Descent,VMC,0.0,0.0,2.0,0.0,1985
PA-28RT-201T,Landing,VMC,2.0,2.0,2.0,0.0,1985
150,Go-around,VMC,0.0,1.0,0.0,0.0,1985
G-164A,Maneuvering,VMC,1.0,0.0,0.0,0.0,1985
PA-28-181,Landing,VMC,0.0,0.0,0.0,2.0,1985
A-9,Maneuvering,VMC,0.0,0.0,1.0,0.0,1985
B35,Cruise,VMC,0.0,0.0,0.0,4.0,1985
PA-28-180,Landing,VMC,0.0,0.0,0.0,1.0,1985
369HS,Landing,VMC,0.0,0.0,0.0,2.0,1985
LAKE LA-4-200,Takeoff,VMC,0.0,2.0,0.0,0.0,1985
A-188-B,Takeoff,VMC,0.0,0.0,0.0,1.0,1985
415-C,Maneuvering,VMC,1.0,0.0,1.0,0.0,1985
S2R-600,Maneuvering,VMC,0.0,0.0,0.0,1.0,1985
R22,Landing,VMC,0.0,0.0,0.0,2.0,1985
172,Landing,VMC,0.0,0.0,0.0,3.0,1985
AT301,Maneuvering,VMC,0.0,0.0,0.0,1.0,1985
269C,Landing,VMC,0.0,0.0,0.0,2.0,1985
PA-38-112,Takeoff,VMC,0.0,0.0,0.0,2.0,1985
PA-25-235-B,Takeoff,VMC,0.0,0.0,0.0,1.0,1985
M20K,Landing,VMC,0.0,0.0,0.0,1.0,1985
8E,Landing,VMC,0.0,0.0,0.0,1.0,1985
HP-18,Approach,VMC,0.0,1.0,0.0,0.0,1985
PA-22-150,Go-around,VMC,0.0,0.0,1.0,0.0,1985
269C,Takeoff,VMC,0.0,0.0,1.0,0.0,1985
310C,Cruise,VMC,0.0,3.0,0.0,0.0,1985
8GCBC,Takeoff,VMC,0.0,0.0,0.0,1.0,1985
BE-200,Approach,UNK,2.0,0.0,0.0,0.0,1985
CHRISTEN EAGLE II,Maneuvering,VMC,1.0,0.0,0.0,0.0,1985
G-164A,Cruise,VMC,0.0,0.0,0.0,1.0,1985
280C,Takeoff,VMC,0.0,0.0,0.0,3.0,1985
G-164,Climb,VMC,0.0,0.0,0.0,1.0,1985
150,Takeoff,VMC,0.0,0.0,1.0,0.0,1985
112B,Takeoff,VMC,0.0,2.0,2.0,0.0,1985
PA-31-350,Approach,VMC,0.0,0.0,0.0,10.0,1985
310F,Takeoff,VMC,0.0,0.0,0.0,1.0,1985
PA-25-235,Maneuvering,VMC,0.0,0.0,0.0,1.0,1985
PA-28R-200,Go-around,VMC,0.0,0.0,0.0,2.0,1985
PA-32R-300,Maneuvering,VMC,1.0,0.0,0.0,0.0,1985
J-3,Taxi,IMC,0.0,0.0,0.0,1.0,1985
180,Landing,VMC,0.0,0.0,0.0,1.0,1985
7AC,Landing,VMC,0.0,0.0,0.0,1.0,1985
269C,Landing,VMC,0.0,0.0,2.0,0.0,1985
PA-38-112,Landing,VMC,0.0,1.0,0.0,1.0,1985
PA-28-181,Cruise,VMC,0.0,0.0,0.0,5.0,1985
7GCBC,Takeoff,VMC,0.0,0.0,0.0,1.0,1985
UH-1B,Maneuvering,VMC,1.0,0.0,0.0,0.0,1985
152,Takeoff,VMC,1.0,1.0,4.0,0.0,1985
G-164A,Maneuvering,VMC,0.0,0.0,0.0,1.0,1985
L-1011,Approach,IMC,0.0,0.0,0.0,219.0,1985
47G-3B-1,Cruise,VMC,0.0,0.0,0.0,1.0,1985
EVANS VP-1,Cruise,VMC,0.0,1.0,0.0,0.0,1985
S76A,Maneuvering,VMC,1.0,1.0,4.0,0.0,1985
G-164A,Landing,VMC,0.0,0.0,0.0,1.0,1985
LA-4-200,Climb,VMC,0.0,0.0,0.0,1.0,1985
PA-38-112,Maneuvering,VMC,0.0,0.0,1.0,0.0,1985
172RG,Landing,VMC,0.0,0.0,0.0,1.0,1985
1121,Landing,IMC,0.0,0.0,4.0,1.0,1985
150J,Cruise,VMC,0.0,1.0,0.0,0.0,1985
A2,Takeoff,VMC,0.0,0.0,0.0,1.0,1985
PA-18-150,Landing,VMC,0.0,0.0,0.0,2.0,1985
172M,Takeoff,VMC,0.0,0.0,0.0,4.0,1985
PA-28-180N,Landing,VMC,0.0,0.0,0.0,2.0,1985
T337G,Approach,VMC,0.0,0.0,0.0,4.0,1985
R-22,Landing,VMC,0.0,0.0,0.0,2.0,1985
T210J,Landing,VMC,0.0,1.0,1.0,0.0,1985
8A,Approach,VMC,1.0,0.0,0.0,0.0,1985
R-172-K,Landing,VMC,0.0,0.0,1.0,2.0,1985
UH-12C,Takeoff,VMC,0.0,1.0,0.0,0.0,1985
172M,Approach,VMC,0.0,0.0,0.0,3.0,1985
PA-28-181,Cruise,VMC,0.0,0.0,1.0,0.0,1985
150H,Unknown,VMC,0.0,2.0,0.0,0.0,1985
150M,Descent,VMC,0.0,0.0,0.0,2.0,1985
95,Approach,VMC,0.0,1.0,1.0,0.0,1985
SA316B,Cruise,VMC,0.0,0.0,0.0,4.0,1985
PA-24-250,Go-around,VMC,0.0,0.0,0.0,3.0,1985
206B,Maneuvering,VMC,0.0,0.0,2.0,0.0,1985
T210N,Cruise,VMC,0.0,0.0,1.0,0.0,1985
152,Maneuvering,VMC,0.0,1.0,1.0,0.0,1985
M-5-180C,Landing,VMC,0.0,0.0,0.0,2.0,1985
PA-22-135,Takeoff,VMC,0.0,0.0,0.0,1.0,1985
210M,Approach,VMC,0.0,0.0,0.0,1.0,1985
152II,Takeoff,VMC,0.0,0.0,0.0,2.0,1985
31OQ,Approach,IMC,0.0,1.0,0.0,0.0,1985
AT-301,Maneuvering,VMC,0.0,1.0,0.0,0.0,1985
PA-25,Maneuvering,VMC,0.0,0.0,0.0,1.0,1985
AA-1B,Takeoff,VMC,0.0,1.0,1.0,0.0,1985
POLLIWAGON,Landing,VMC,0.0,1.0,0.0,0.0,1985
C-23,Landing,VMC,0.0,0.0,0.0,1.0,1985
210L,Climb,VMC,0.0,0.0,0.0,1.0,1985
185,Landing,VMC,0.0,0.0,0.0,3.0,1985
206B,Standing,VMC,0.0,0.0,2.0,0.0,1985
150,Maneuvering,VMC,0.0,0.0,1.0,0.0,1985
SNJ-5,Maneuvering,VMC,2.0,0.0,0.0,0.0,1985
BG-12-BD,Approach,VMC,0.0,1.0,0.0,0.0,1985
G-103-II AERO,Descent,VMC,0.0,0.0,0.0,2.0,1985
PA-28-140,Landing,VMC,0.0,0.0,0.0,1.0,1985
47G-3,Takeoff,VMC,0.0,0.0,0.0,1.0,1985
C23,Landing,VMC,0.0,0.0,0.0,2.0,1985
MARQUART CHARGER MA5,Takeoff,VMC,0.0,0.0,0.0,2.0,1985
172M,Landing,VMC,0.0,0.0,2.0,0.0,1985
170B,Landing,VMC,0.0,0.0,0.0,2.0,1985
7AC,Cruise,VMC,0.0,0.0,0.0,1.0,1985
152,Landing,VMC,0.0,0.0,0.0,1.0,1985
206B-III,Cruise,VMC,0.0,0.0,0.0,4.0,1985
207,Takeoff,VMC,0.0,1.0,2.0,5.0,1985
RV-4,Maneuvering,VMC,1.0,0.0,0.0,0.0,1985
SPEZIO SPORT DAL-1,Maneuvering,VMC,2.0,0.0,0.0,0.0,1985
B-737-201,Cruise,VMC,0.0,1.0,1.0,43.0,1985
35,Takeoff,VMC,0.0,4.0,0.0,0.0,1985
RC-3,Takeoff,VMC,1.0,3.0,0.0,0.0,1985
172H,Takeoff,VMC,2.0,2.0,0.0,0.0,1985
2T-1A-2,Landing,VMC,0.0,0.0,0.0,1.0,1985
PA-22-108,Landing,VMC,0.0,0.0,0.0,1.0,1985
BC-12D,Landing,VMC,0.0,0.0,0.0,2.0,1985
PA-28-181,Approach,VMC,0.0,0.0,0.0,4.0,1985
J3C-65,Approach,VMC,0.0,0.0,0.0,1.0,1985
R22,Descent,VMC,0.0,0.0,0.0,2.0,1985
PA-31-350,Approach,VMC,0.0,0.0,0.0,1.0,1985
150,Maneuvering,VMC,0.0,0.0,0.0,2.0,1985
172 M,Landing,VMC,0.0,0.0,0.0,2.0,1985
A75N1,Maneuvering,VMC,0.0,0.0,0.0,2.0,1985
PA-22-108,Taxi,VMC,0.0,0.0,0.0,2.0,1985
PUFFIN,Takeoff,VMC,0.0,0.0,1.0,0.0,1985
180,Landing,VMC,0.0,0.0,0.0,2.0,1985
600S-20,Takeoff,VMC,0.0,0.0,0.0,1.0,1985
TIERRA II,Maneuvering,VMC,1.0,0.0,0.0,0.0,1985
402B,Cruise,IMC,8.0,0.0,0.0,0.0,1985
188A,Maneuvering,VMC,0.0,1.0,0.0,0.0,1985
AT-301,Maneuvering,VMC,0.0,0.0,0.0,1.0,1985
172,Landing,VMC,0.0,0.0,0.0,2.0,1985
V35B,Approach,VMC,0.0,0.0,0.0,1.0,1985
FIREFLY AX-7,Takeoff,VMC,0.0,1.0,3.0,0.0,1985
PA-18,Takeoff,VMC,0.0,0.0,0.0,2.0,1985
M-6-235,Unknown,VMC,3.0,0.0,0.0,0.0,1985
PA-38-112,Landing,VMC,0.0,0.0,0.0,2.0,1985
269C,Landing,VMC,0.0,0.0,0.0,2.0,1985
PA-24-260,Takeoff,VMC,0.0,0.0,2.0,0.0,1985
VENTUS-B,Approach,VMC,1.0,0.0,0.0,0.0,1985
NAVION A,Maneuvering,VMC,1.0,0.0,0.0,0.0,1985
PA-28R-200,Landing,VMC,0.0,0.0,0.0,2.0,1985
214B-1,Maneuvering,VMC,2.0,0.0,0.0,0.0,1985
SA-26AT,Climb,VMC,1.0,0.0,0.0,0.0,1985
240-27,Takeoff,VMC,0.0,2.0,0.0,0.0,1985
182P,Go-around,VMC,0.0,0.0,0.0,1.0,1985
J3C-65,Taxi,VMC,0.0,0.0,1.0,0.0,1985
G-164,Maneuvering,VMC,0.0,0.0,0.0,1.0,1985
108-1,Descent,VMC,0.0,0.0,0.0,1.0,1985
180,Landing,VMC,0.0,0.0,0.0,2.0,1985
170B,Landing,VMC,0.0,0.0,0.0,2.0,1985
180H,Takeoff,VMC,0.0,0.0,2.0,2.0,1985
152,Maneuvering,VMC,0.0,0.0,0.0,2.0,1985
RF-4C,Landing,VMC,1.0,0.0,2.0,0.0,1985
E18S,Standing,VMC,1.0,0.0,2.0,0.0,1985
182RG,Landing,VMC,0.0,0.0,2.0,0.0,1985
PA-28-180,Landing,VMC,0.0,0.0,0.0,2.0,1985
172M,Landing,VMC,0.0,0.0,0.0,1.0,1985
PA-28-180,Cruise,VMC,0.0,1.0,0.0,0.0,1985
J5A,Maneuvering,VMC,1.0,1.0,0.0,0.0,1985
PA-18,Approach,VMC,0.0,0.0,0.0,1.0,1985
G-44,Landing,VMC,0.0,0.0,3.0,0.0,1985
M-5,Unknown,IMC,1.0,1.0,0.0,0.0,1985
DHC-2,Takeoff,VMC,0.0,0.0,0.0,1.0,1985
17-30A,Takeoff,VMC,0.0,0.0,2.0,0.0,1985
164B,Maneuvering,VMC,0.0,0.0,0.0,1.0,1985
R-182RG,Approach,VMC,0.0,0.0,1.0,0.0,1985
172P,Landing,VMC,0.0,0.0,1.0,2.0,1985
152,Landing,VMC,0.0,0.0,0.0,1.0,1985
206L-1,Cruise,VMC,0.0,0.0,0.0,1.0,1985
DHC-2,Landing,VMC,0.0,0.0,0.0,1.0,1985
PA-20,Landing,VMC,0.0,0.0,0.0,2.0,1985
C-177RG,Maneuvering,VMC,4.0,0.0,0.0,0.0,1985
7ECA,Maneuvering,VMC,0.0,1.0,0.0,0.0,1985
AEROCOMMANDER 112,Takeoff,VMC,0.0,0.0,0.0,3.0,1985
BRIEGLEB BG-12B,Approach,VMC,1.0,0.0,0.0,0.0,1985
KR-2,Approach,VMC,1.0,0.0,0.0,0.0,1985
172B,Takeoff,VMC,0.0,0.0,0.0,2.0,1985
2T-1A-2,Landing,VMC,0.0,0.0,0.0,2.0,1985
G-164A,Maneuvering,VMC,0.0,0.0,0.0,1.0,1985
SKYBOLT,Maneuvering,VMC,0.0,0.0,2.0,0.0,1985
150L,Landing,VMC,0.0,0.0,0.0,1.0,1985
PA-28-140B,Takeoff,VMC,0.0,0.0,4.0,0.0,1985
8GCBC,Takeoff,VMC,0.0,0.0,0.0,2.0,1985
206L-1,Maneuvering,VMC,0.0,0.0,1.0,1.0,1985
PA-24-250,Landing,VMC,0.0,0.0,0.0,5.0,1985
II,Approach,VMC,0.0,2.0,0.0,0.0,1985
152,Approach,VMC,1.0,2.0,0.0,0.0,1985
PZL-104 WILGA 35A,Takeoff,VMC,0.0,2.0,0.0,0.0,1985
727,Descent,VMC,0.0,2.0,2.0,71.0,1985
8A,Approach,VMC,0.0,0.0,2.0,0.0,1985
J-2,Taxi,VMC,0.0,0.0,3.0,0.0,1985
152,Landing,VMC,0.0,0.0,0.0,1.0,1985
PA-38-112,Landing,VMC,0.0,0.0,0.0,1.0,1985
PA-30,Landing,VMC,0.0,0.0,0.0,4.0,1985
152,Approach,VMC,0.0,1.0,1.0,0.0,1985
180,Landing,VMC,0.0,0.0,0.0,3.0,1985
150,Approach,VMC,1.0,2.0,0.0,0.0,1985
172,Landing,VMC,0.0,0.0,0.0,1.0,1985
PA-24-180,Takeoff,VMC,0.0,0.0,2.0,0.0,1985
BE-19A,Landing,VMC,0.0,0.0,0.0,1.0,1985
172P,Landing,VMC,0.0,0.0,0.0,3.0,1985
172,Taxi,VMC,0.0,0.0,0.0,2.0,1985
L-13,Climb,VMC,0.0,0.0,0.0,1.0,1985
421C,Cruise,VMC,0.0,2.0,2.0,71.0,1985
PA-18,Maneuvering,VMC,1.0,1.0,0.0,0.0,1985
PA-23-250,Cruise,VMC,0.0,0.0,0.0,2.0,1985
B95A,Takeoff,VMC,1.0,0.0,0.0,0.0,1985
188B,Takeoff,VMC,0.0,0.0,0.0,1.0,1985
LS3-A,Unknown,VMC,1.0,0.0,0.0,0.0,1985
N2,Maneuvering,VMC,1.0,0.0,0.0,0.0,1985
7DC,Cruise,VMC,0.0,0.0,0.0,1.0,1985
DHC-2,Taxi,VMC,0.0,0.0,0.0,1.0,1985
310L,Approach,VMC,0.0,2.0,0.0,3.0,1985
8A,Takeoff,VMC,0.0,0.0,0.0,2.0,1985
PA-22-150,Landing,VMC,0.0,0.0,0.0,3.0,1985
MU-2K,Climb,VMC,0.0,0.0,0.0,3.0,1985
UH-1B,Maneuvering,VMC,1.0,0.0,0.0,1.0,1985
VARI- EZE,Takeoff,VMC,0.0,1.0,0.0,0.0,1985
IS-28B2,Takeoff,VMC,0.0,0.0,0.0,1.0,1985
PA-28-151,Maneuvering,VMC,2.0,0.0,0.0,0.0,1985
